Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
73.91478616377411,"{'algorithm': 'ball_tree', 'leaf_size': 50, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",5,"{'n_neighbors': [3, 5, 7, 10], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2], 'leaf_size': [30, 50, 100]}"
71.51789650887811,"{'algorithm': 'auto', 'leaf_size': 100, 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",5,"{'n_neighbors': [5, 10, 15, 20, 50], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2, 3, 4], 'leaf_size': [30, 50, 100]}"
71.50988015551725,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",3,"{'n_neighbors': [5, 10, 15, 20, 50], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2, 3, 4], 'leaf_size': [30, 50, 100]}"
71.26938955469157,"{'algorithm': 'brute', 'leaf_size': 20, 'n_neighbors': 60, 'p': 1, 'weights': 'uniform'}",3,"{'n_neighbors': [20, 40, 50, 60, 100], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2, 3, 4], 'leaf_size': [20, 25, 30, 35, 40]}"
71.04589244339661,"{'algorithm': 'ball_tree', 'leaf_size': 40, 'n_neighbors': 100, 'p': 1, 'weights': 'uniform'}",5,"{'n_neighbors': [20, 40, 50, 60, 100], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2, 3, 4], 'leaf_size': [20, 25, 30, 35, 40]}"
