Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
71.65363800360794,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",5,"{'n_neighbors': [3, 5, 7, 10], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2], 'leaf_size': [30, 50, 100]}"
67.9695329725396,"{'algorithm': 'auto', 'leaf_size': 50, 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",5,"{'n_neighbors': [5, 10, 15, 20, 50], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2, 3, 4], 'leaf_size': [30, 50, 100]}"
67.94948887552616,"{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",3,"{'n_neighbors': [5, 10, 15, 20, 50], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2, 3, 4], 'leaf_size': [30, 50, 100]}"
99.63415171684224,"{'algorithm': 'brute', 'leaf_size': 30, 'n_neighbors': 150, 'p': 1, 'weights': 'distance'}",5,"{'n_neighbors': [150, 175, 200, 225, 250], 'weights': ['uniform', 'distance'], 'algorithm': ['auto', 'ball_tree', 'kd_tree', 'brute'], 'p': [1, 2, 3, 4], 'leaf_size': [30, 40, 45, 50, 60]}"
