Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
66.12146722790139,0.6612146722790139,10,"{'priors': [None, [0.1, 0.9], [0.2, 0.8], [0.3, 0.7], [0.4, 0.6], [0.5, 0.5], [0.6, 0.4], [0.7, 0.3], [0.8, 0.2], [0.9, 0.1]], 'var_smoothing': [1e-10, 1e-09, 1e-08, 1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}"
65.64040889957907,0.6564040889957907,10,"{'priors': [None, [0.2, 0.8], [0.5, 0.5], [0.8, 0.2]], 'var_smoothing': [1e-09, 1e-08, 1e-07]}"
65.62036480256565,0.6562036480256564,3,"{'priors': [None, [0.2, 0.8], [0.5, 0.5], [0.8, 0.2]]}"
80.66293472032442,0.8066293472032442,10,"{'priors': [None, [0.1, 0.9], [0.2, 0.8], [0.3, 0.7], [0.4, 0.6], [0.5, 0.5], [0.6, 0.4], [0.7, 0.3], [0.8, 0.2], [0.9, 0.1]], 'var_smoothing': [1e-10, 1e-09, 1e-08, 1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}"
