Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
69.78984594122191,"{'priors': [0.2, 0.8], 'var_smoothing': 0.0001}",10,"{'priors': [None, [0.1, 0.9], [0.2, 0.8], [0.3, 0.7], [0.4, 0.6], [0.5, 0.5], [0.6, 0.4], [0.7, 0.3], [0.8, 0.2], [0.9, 0.1]], 'var_smoothing': [1e-10, 1e-09, 1e-08, 1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}"
69.6741352358812,"{'priors': [0.4, 0.6], 'var_smoothing': 1e-07}",10,"{'priors': [None, [0.1, 0.9], [0.2, 0.8], [0.3, 0.7], [0.4, 0.6], [0.5, 0.5], [0.6, 0.4], [0.7, 0.3], [0.8, 0.2], [0.9, 0.1]], 'var_smoothing': [1e-10, 1e-09, 1e-08, 1e-07, 1e-06, 1e-05, 0.0001, 0.001, 0.01]}"
69.42162010501423,"{'priors': [0.5, 0.5]}",3,"{'priors': [None, [0.2, 0.8], [0.5, 0.5], [0.8, 0.2]]}"
69.42162010501423,"{'priors': [0.5, 0.5], 'var_smoothing': 1e-09}",10,"{'priors': [None, [0.2, 0.8], [0.5, 0.5], [0.8, 0.2]], 'var_smoothing': [1e-09, 1e-08, 1e-07]}"
