Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
75.12525552126338,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",5,"{'n_estimators': [100, 150, 200, 250, 300], 'max_depth': [9, 10, 11], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 5, 10], 'min_samples_leaf': [1, 2, 4]}"
75.12525552126338,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",5,"{'n_estimators': [100, 250, 500, 1000], 'max_depth': [10, 25, 50, 75, 100], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5, 10], 'min_samples_leaf': [1, 2, 3, 4]}"
73.89537010690623,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 12, 'n_estimators': 112}",5,"{'n_estimators': [87, 100, 112, 125], 'max_depth': [5, 6, 7, 8, 9], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [9, 10, 11, 12], 'min_samples_leaf': [3, 4, 5]}"
73.34661192634447,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",5,"{'n_estimators': [50, 75, 100, 125], 'max_depth': [5, 6, 7, 8, 9], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [4, 5, 6, 10], 'min_samples_leaf': [3, 4, 5]}"
72.69623186049347,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",5,"{'n_estimators': [100, 200, 300, 400, 500, 750, 1000], 'max_depth': [5, 7, 10, 12, 15, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [4, 5, 6, 10], 'min_samples_leaf': [3, 4, 5, 6, 7]}"
