Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
80.91858773747079,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 4, 'n_estimators': 400}",3,"{'n_estimators': [100, 200, 300, 400, 500, 750, 1000], 'max_depth': [5, 7, 10, 12, 15, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [4, 5, 6, 10], 'min_samples_leaf': [3, 4, 5, 6, 7]}"
71.79394668270194,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",3,"{'n_estimators': [100, 250, 500, 1000], 'max_depth': [10, 25, 50, 75, 100], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5, 10], 'min_samples_leaf': [1, 2, 3, 4]}"
70.59931850070154,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",3,"{'n_estimators': [100, 150, 200, 250, 300], 'max_depth': [9, 10, 11], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 5, 10], 'min_samples_leaf': [1, 2, 4]}"
