Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
72.10709848090103,"{'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 100}",5,"{'n_estimators': [100, 200, 500, 1000, 10000], 'learning_rate': [0.001, 0.01, 0.1, 1], 'max_depth': [5, 10, 15, 20], 'min_child_weight': [1, 2, 3, 4, 5]}"
72.04697583069462,"{'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 7, 'n_estimators': 200}",5,"{'n_estimators': [100, 150, 200], 'learning_rate': [0.001, 0.01, 0.1, 1], 'max_depth': [3, 4, 5, 6, 7, 8], 'min_child_weight': [3, 4, 5, 6, 7]}"
72.08650054875818,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 100}",5,"{'n_estimators': [100, 150, 200], 'learning_rate': [0.001, 0.01, 0.1, 1], 'max_depth': [3, 4, 5, 6, 7, 8], 'min_child_weight': [3, 4, 5, 6, 7]}"

