Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
68.46261775906996,"{'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 200}",3,"{'n_estimators': [100, 200, 500, 1000, 10000], 'learning_rate': [0.001, 0.01, 0.1, 1], 'max_depth': [5, 10, 15, 20], 'min_child_weight': [1, 2, 3, 4, 5]}"
81.21391105038127,"{'learning_rate': 0.001, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000}",3,"{'n_estimators': [100, 200, 500, 1000, 10000], 'learning_rate': [0.001, 0.01, 0.1, 1], 'max_depth': [5, 10, 15, 20], 'min_child_weight': [1, 2, 3, 4, 5]}"
