Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
77.79069301374804,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",3,"{'n_estimators': [100, 200, 500, 1000], 'max_depth': [5, 10, 15, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5]}"
77.37785081566395,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",5,"{'n_estimators': [100, 200, 500, 1000], 'max_depth': [None, 3, 4, 5], 'criterion': ['gini', 'entropy', 'log_loss'], 'max_features': ['sqrt', 'log2', None], 'min_samples_split': [2, 3, 4, 5], 'bootstrap': [True, False]}"
75.84271914706,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 500}",3,"{'n_estimators': [500, 700, 1000], 'max_depth': [15, 20, 40, 50], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [4, 5, 7, 10]}"
74.64330718263486,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",5,"{'n_estimators': [100, 200, 300, 500, 700, 1000], 'max_depth': [10, 15, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5]}"
74.2490142677127,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 200}",5,"{'n_estimators': [50, 75, 100, 200], 'max_depth': [10, 12, 15, 17, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [4, 5, 7, 8, 9]}"
69.92264219006773,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 1000}",5,"{'n_estimators': [100, 200, 500, 1000], 'max_depth': [None, 3, 4, 5], 'criterion': ['gini”', 'entropy', 'log_loss']}"
74.26527376935897,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 100}",5,"{'n_estimators': [100, 200, 225, 250, 300], 'max_depth': [12, 13, 15, 16, 17, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [5, 6, 7, 8, 9]}"
