Accuracy,Best Parameters,Cross-Validation (cv),Parameter Grid
81.35055318023538,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 700}",5,"{'n_estimators': [100, 200, 300, 500, 700, 1000], 'max_depth': [10, 15, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5]}"
71.24473842453398,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 1000}",5,"{'n_estimators': [100, 200, 500, 1000], 'max_depth': [None, 3, 4, 5], 'criterion': ['gini', 'entropy', 'log_loss'], 'max_features': ['sqrt', 'log2', None], 'min_samples_split': [2, 3, 4, 5], 'bootstrap': [True, False]}"
70.09420725596311,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 125}",3,"{'n_estimators': [100, 125, 150, 175, 200, 250], 'max_depth': [10, 12, 15, 17, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5]}"
70.06213670074163,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",3,"{'n_estimators': [100, 150, 200, 250, 300, 1000], 'max_depth': [5, 10, 15, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5]}"
69.97795149328523,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",3,"{'n_estimators': [100, 200, 500, 1000], 'max_depth': [5, 10, 15, 20], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [2, 3, 4, 5]}"
66.96331930246544,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 500}",5,"{'n_estimators': [100, 200, 500, 1000], 'max_depth': [None, 3, 4, 5], 'criterion': ['gini”', 'entropy', 'log_loss']}"
66.93525756664663,"{'max_depth': 4, 'n_estimators': 100}",5,"{'n_estimators': [100, 200, 500, 1000], 'max_depth': [None, 3, 4, 5]}"
81.39903909728038,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 900}",5,"{'n_estimators': [500, 600, 700, 800, 900, 1000], 'max_depth': [5, 7, 10, 12, 15], 'criterion': ['gini', 'entropy', 'log_loss'], 'min_samples_split': [4, 5, 6, 7, 8, 9]}"
